"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR11865276","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865278","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865284","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865286","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865288","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865290","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865292","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865294","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865296","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865298","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865300","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865302","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865304","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865305","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865306","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865307","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865308","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865310","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865312","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865314","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865316","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865318","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865320","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865322","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865324","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865326","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865328","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865330","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865332","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865334","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865335","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865336","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865338","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865340","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865342","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865344","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865346","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865348","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865350","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865352","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865354","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865356","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865358","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865359","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865360","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865362","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865364","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","ACRB",1
"ERR11865367","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865369","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865371","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865373","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865375","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865377","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865379","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865381","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
