species;O23S;ACRB;TEM;RPOCL;BC;BLA1;BLAZ;BCII;CTX;CRP;ACRA;ACRR;ROBA;ACRE;ACRF;ACRS;MARA;MARR;EVGA;EVGS;HNS;OMPA;OMPFB;PBP4B;OMP36;BLAC;OQXA;CMY;OMP37;OMPK36;LIAFSR;RAHN;OQXB;OMPF;GADW;GADX;MDTE;MDTF;MDEA;OXY;RAMR;MIR;LAQ;abondance_intrasample;abondance_intersamples;ERR11865276;ERR11865278;ERR11865284;ERR11865286;ERR11865288;ERR11865290;ERR11865292;ERR11865294;ERR11865296;ERR11865298;ERR11865300;ERR11865302;ERR11865304;ERR11865305;ERR11865306;ERR11865307;ERR11865308;ERR11865310;ERR11865312;ERR11865314;ERR11865316;ERR11865318;ERR11865320;ERR11865322;ERR11865324;ERR11865326;ERR11865328;ERR11865330;ERR11865332;ERR11865334;ERR11865335;ERR11865336;ERR11865338;ERR11865340;ERR11865342;ERR11865344;ERR11865346;ERR11865348;ERR11865350;ERR11865352;ERR11865354;ERR11865356;ERR11865358;ERR11865359;ERR11865360;ERR11865362;ERR11865364;ERR11865367;ERR11865369;ERR11865371;ERR11865373;ERR11865375;ERR11865377;ERR11865379;ERR11865381;ERR11865383;ERR11865385;ERR11865387;ERR11865389;ERR11865391;ERR11865393;ERR11865395;ERR11865397;ERR11865399;ERR11865401;ERR11865403;ERR11865405;ERR11865407;ERR11865409;ERR11865411;ERR11865413;ERR11865415;ERR11865417;ERR11865419;ERR11865421;ERR11865423;ERR11865425;ERR11865427;ERR11865429;ERR11865431;ERR11865433;ERR11865435;ERR11865437;ERR11865439;ERR11865441;ERR11865443;ERR11865445;ERR11865447;ERR11865449;ERR11865451;ERR11865453;ERR11865455;ERR11865457;ERR11865459;ERR11865461;ERR11865463;ERR11865465;ERR11865467;ERR11865469;ERR11865471;ERR11865473;ERR11865475;ERR11865477;ERR11865479;ERR11865481;ERR11865483;ERR11865485;ERR11865487;ERR11865489;ERR11865491;ERR11865493;ERR11865495;ERR11865497;ERR11865499;ERR11865501;ERR11865503;ERR11865508;ERR11865509;ERR11865511;ERR11865538;ERR11865540;ERR11865542;ERR11865544;ERR11865546;ERR11865548;ERR11865552;ERR11865554;ERR11865556;ERR11865558;ERR11865560;ERR14783384;ERR14783386;ERR14783390;ERR14783391;ERR14783392;ERR14783399;ERR14783400;ERR14783401;ERR14783402;ERR14783408;ERR14783409;ERR14783410;ERR14783411;ERR14783418;ERR14783424;ERR14783425;ERR14783426;ERR14783427;ERR14783429;ERR14783433;ERR14783434;ERR14783439;ERR14783440;ERR14783441;ERR14783442;ERR14783446;ERR14783447;ERR14783453;ERR14783454;ERR14783455;ERR14783456;ERR14783460;ERR14783464;ERR14783465;ERR14783466;ERR14783473;ERR14783475;ERR14783483;ERR14783484;ERR14783485;ERR14783486;ERR14783487;ERR14783492;ERR14783494;ERR14783495;ERR14783500;ERR14783502;ERR14783503;ERR14783509;ERR14783510;ERR14783511;ERR14783512;ERR14783519;ERR14783521;ERR14783522;ERR14783523;ERR14783524;ERR14783532;ERR14783538;ERR14783539;ERR14783541;ERR14783549;ERR14783550;ERR14783551;ERR14783553;ERR14783783;ERR14783784;ERR14783785;ERR14783786;ERR14783787;ERR14783788;ERR14783792;ERR14783793;ERR14783794;ERR14783795;ERR14783796;ERR14783802;ERR14783805;ERR14783806;ERR14783809;ERR14783810;SRR13801805
Leuconostoc mesenteroides;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.0465655491967;42.9245283018868;0.5434782609;0.5154639175;1.734104046;1.896551724;0.618556701;0.8163265306;0;0;2.094240838;3.67816092;0.1926782274;0.1941747573;0;0;0;0;0.3838771593;0.3636363636;0;0;0;0;0;0;0;0.1677852349;0;0.1773049645;0;0.1745200698;0.1655629139;0;0.1666666667;0;0.2057613169;89.71962617;14.94565217;0;0.5555555556;6.25;7.01754386;0;0;0;0;0;0;0;0;0.1582278481;0;0;0;0;0;0;6.504065041;14.28571429;0;0;0;0;28.99408284;8.823529412;0;0;0.1481481481;0.2275312856;0;20.99447514;0.1584786054;0.1326259947;0;0;0;0;0;0;0;0;0;0;0;0.1848428835;0.3984063745;10.07751938;0;0;0.4901960784;2.362204724;0.2028397566;0.2247191011;0;0;0.6688963211;1.279707495;7.56302521;3.225806452;0;0;0;0.4587155963;0;0;0;0.2272727273;0.6546644845;2.828282828;0;0;0.3300330033;9.459459459;2.298850575;7.857142857;0;0;11.00917431;18.76606684;7.584830339;0;3.409090909;0.234741784;0;0;0;0;0.2747252747;0.9259259259;0;0;0;0;0;0;0;1.196808511;1.246105919;1.046337818;2.5;23.21428571;27.9342723;20.35714286;9.073359073;0;0;0;0;0;1.118568233;2.955665025;5.987261146;0;0;0.2645502646;0;0;0;0;0;0;0;0;0;28.18791946;8.080808081;0;0;0;0;22.22222222;7.172995781;27.30769231;0;0;0;0;0;0;0;0;0;0;0;0.5424954792;7.323232323;6.346483705;30.39215686;0;0;0.5;0;1.287553648;1.712328767;2.004008016;0.7204610951;50;72.13114754;75.80645161;25.37313433;69.23076923;75;0;0;0;0;0;0;0;0;0;0;0
Acetobacter orientalis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.61480015894125;37.7358490566038;0;0.1718213058;0.1926782274;0.1724137931;0;0;0;0;0;0.2298850575;0;0;0;0;0;0;0;0.1818181818;0;0.1531393568;0.5607476636;0.5357142857;0.3048780488;0.2325581395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.129943503;0;0;0;0;0;2.958579882;0.2793296089;0.6309148265;2.460850112;4.166666667;0;0;0;0.3134796238;0;0.5434782609;0;0;0;0.487804878;0;0;0;0;0;0;0;0.3012048193;0;0;0;0;0;1.875;4.156479218;4.304635762;0;0;0;0;43.93592677;88.81578947;0;0;0;0.8988764045;12.42937853;6.542056075;0;0.1828153565;0;0;0;0;0;0.4587155963;0;0;0;0;0;0.202020202;0;0;0;0;0;0;0.4830917874;1.639344262;0.9174311927;0;0;0;1.136363636;1.877934272;0.8333333333;0.9732360097;0.7407407407;0;1.648351648;0;0;1.086956522;0;0;0;0;0;0.9308510638;0.6230529595;0.2989536622;1.136363636;0.7142857143;4.460093897;0.7142857143;0.9652509653;3.102625298;0;0.3802281369;6.02006689;0;1.118568233;2.463054187;0.8917197452;17.47572816;0.1524390244;0.5291005291;5.445544554;0.7194244604;0.4264392324;0;0;0;0.4329004329;0.9823182711;0;0;0;1.213592233;0;0;0;0;0;1.730769231;0;18.57410882;1.606425703;8.988764045;0;0.4255319149;0.6578947368;0.1805054152;0.5899705015;0;10.71428571;0.1808318264;0.7575757576;0.6861063465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3355704698;0.2277904328;0.1642036125;0;1.020408163;0;0;0;0;0
Hafnia paralvei;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.3307206958;3.77358490566038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2132196162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.315789474;0;0;0;0;8.318264014;68.18181818;0;2.450980392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2277904328;0.4926108374;25.44529262;0;0;0;0;0;0
Leuconostoc falkenbergense;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19533077328571;6.60377358490566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.775147929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1515151515;0;1.17370892;6.666666667;0.7299270073;5.925925926;1.709401709;2.472527473;5.555555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4854368932;4.268292683;7.936507937;4.455445545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter persici;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
other;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.61720920848932;48.5849056603774;0.3623188406;0.3436426117;0.1926782274;0.1724137931;0;0;0;0;0;0;0;0;0.2493765586;0;0;0.4237288136;0;0;0;0.1531393568;0;0;0;0.2325581395;0;0;0.5494505495;0.1773049645;0;0;0;0;0;0.4;0;0.3115264798;0.2717391304;1.023890785;0;1.785714286;0;0;0;0;0;0.5649717514;2.5;0;1.112656467;0.6329113924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4444444444;0.3412969283;0.6756756757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1992031873;0;0.2288329519;0.2192982456;0;0.1968503937;0;0;0;0;0.6688963211;0.5484460695;0;0;0;0;0;0;0;0;0;0.2272727273;0.9819967267;1.01010101;0;0;0;0;0;0;0.2415458937;0;0;0;0;0;0;2.112676056;0;0;0;0;0;0;0;0;2.298850575;0.2028397566;8.695652174;5.479452055;0.2985074627;0.1329787234;0;0.7473841555;2.954545455;1.428571429;0.234741784;0;0;0.7159904535;4.812834225;2.661596958;3.010033445;0.5524861878;0.2237136465;0.4926108374;0.2547770701;4.368932039;0.1524390244;3.174603175;4.455445545;10.07194245;7.8891258;8.888888889;0;0;0;2.161100196;13.20754717;2.684563758;0.5050505051;1.45631068;0;1.547388781;4.545454545;3.703703704;4.219409283;0.1923076923;1.6;1.500938086;2.409638554;2.247191011;0;0.4255319149;9.210526316;2.346570397;0.2949852507;5.298013245;0;0.3616636528;1.01010101;0.3430531732;0.4901960784;32.20338983;21.21212121;5;9.523809524;0.4291845494;0;0.8016032064;0;3.846153846;6.557377049;1.612903226;8.955223881;7.211538462;4.545454545;0;2.348993289;0.9111617312;0.9852216749;0.7633587786;0.5102040816;2.058823529;2.876106195;0.5847953216;0.9836065574;0.1347708895
Escherichia coli;0;2;1;0;0;0;0;0;3;2;2;2;1;1;2;1;2;2;2;2;3;2;2;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bacillus mycoides;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5937570935375;3.77358490566038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.363636364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2645502646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.234567901;0;0;0;0;0;2.247191011;0;0;21.05263158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.639344262;0;0;0;0;0;0;0;0;0;0;0;0;0.2923976608;0.6557377049;0
Bacillus tropicus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bacillus albus;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
