Order;Sample ID;Sample description;BioProject;Run - SRA;Sequencing techniques;Sequencing paper;Paper also using it;Download;Origin grains;;;
16;A10_S10;8;PRJEB65292;ERR11865276;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
79;A12_S12;24;PRJEB65292;ERR11865278;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
17;A6_S6;8;PRJEB65292;ERR11865284;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
80;A8_S8;24;PRJEB65292;ERR11865286;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
18;B10_S22;8;PRJEB65292;ERR11865288;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
81;B12_S24;24;PRJEB65292;ERR11865290;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
19;B2_S14;8;PRJEB65292;ERR11865292;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
82;B4_S16;24;PRJEB65292;ERR11865294;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;|
20;B6_S18;8;PRJEB65292;ERR11865296;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
83;B8_S20;24;PRJEB65292;ERR11865298;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
21;C10_S34;8;PRJEB65292;ERR11865300;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
84;C12_S36;24;PRJEB65292;ERR11865302;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
22;C2_S26;8;PRJEB65292;ERR11865304;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
23;C3_S27;8;PRJEB65292;ERR11865305;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
85;C4_S28;24;PRJEB65292;ERR11865306;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
86;C5_S29;24;PRJEB65292;ERR11865307;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
24;C6_S30;8;PRJEB65292;ERR11865308;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
87;C8_S32;24;PRJEB65292;ERR11865310;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
25;D10_S46;8;PRJEB65292;ERR11865312;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
88;D12_S48;24;PRJEB65292;ERR11865314;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
26;D2_S38;8;PRJEB65292;ERR11865316;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
89;D4_S40;24;PRJEB65292;ERR11865318;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
27;D6_S42;8;PRJEB65292;ERR11865320;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
90;D8_S44;24;PRJEB65292;ERR11865322;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
28;E10_S58;8;PRJEB65292;ERR11865324;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
91;E12_S60;24;PRJEB65292;ERR11865326;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
29;E2_S50;8;PRJEB65292;ERR11865328;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
92;E4_S52;24;PRJEB65292;ERR11865330;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
30;E6_S54;8;PRJEB65292;ERR11865332;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
93;E8_S56;24;PRJEB65292;ERR11865334;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
94;E9_S57;24;PRJEB65292;ERR11865335;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
31;F10_S70;8;PRJEB65292;ERR11865336;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
95;F12_S72;24;PRJEB65292;ERR11865338;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
32;F2_S62;8;PRJEB65292;ERR11865340;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
96;F4_S64;24;PRJEB65292;ERR11865342;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
33;F6_S66;8;PRJEB65292;ERR11865344;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
97;F8_S68;24;PRJEB65292;ERR11865346;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
34;G10_S82;8;PRJEB65292;ERR11865348;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
98;G12_S84;24;PRJEB65292;ERR11865350;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
35;G2_S74;8;PRJEB65292;ERR11865352;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
99;G4_S76;24;PRJEB65292;ERR11865354;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
36;G6_S78;8;PRJEB65292;ERR11865356;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
100;G8_S80;24;PRJEB65292;ERR11865358;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
101;G9_S81;24;PRJEB65292;ERR11865359;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
37;H10_S94;8;PRJEB65292;ERR11865360;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
102;H12_S96;24;PRJEB65292;ERR11865362;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
