sample,Lactococcus cremoris,Lactobacillus kefiranofaciens,Lactobacillus helveticus,Lactococcus lactis,Lentilactobacillus kefiri,Leuconostoc mesenteroides,Pseudolactococcus raffinolactis,Acinetobacter sp. TTH0-4,Pseudomonas helleri,Acetobacter orientalis,Other,Streptococcus thermophilus,Pseudomonas lundensis,Macrococcoides caseolyticum,Hafnia paralvei,Pseudomonas brenneri,Lactococcus sp,Streptococcus parauberis,Thermus thermophilus,Leuconostoc falkenbergense,Pseudolactococcus piscium,Acetobacter ghanensis,Pseudomonas saxonica,Carnobacterium maltaromaticum,Kluyvera intermedia,Saccharomyces cerevisiae,Kluyveromyces marxianus,Lelliottia amnigena,Pseudomonas putida,Klebsiella sp. HC6,Bacillus mycoides,Pantoea agglomerans,Clostridium saccharobutylicum,Pseudolactococcus carnosus,Pseudomonas lurida,Paenibacillus sp. FSL H8-0332,Pseudomonas sp B21128,Propionibacterium freudenreichii,Klebsiella grimontii,Yersinia alsatica,Duffyella gerundensis,Clostridium beijerinckii,Pseudolactococcus paracarnosus,Yarrowia lipolytica,Pseudomonas azotoformans,Clostridium tyrobutyricum,Pseudomonas sp. FP453,Pseudomonas moraviensis,Acinetobacter towneri,Leclercia adecarboxylata,Rahnella aceris,Pseudomonas sp. S3_B08,Kluyvera cryocrescens,Pseudomonas rustica,Superficieibacter sp. BNK-5,Pseudomonas sp. SD17-1,Janthinobacterium s. J1-1,Maaswegvirus Kp24,Staphylococcus sp. IVB6181,Citrobacter freundii complex sp. CFNIH3,Macrococcus psychrotolerans,Lactococcus phage 63301,Bacillus sp. WC2507,Enterobacter sp. RHBSTW-00901,Pseudomonas sp. SC3(2021),Bordetella bronchiseptica,Total
ERR11865276,"94,38405797","0,1811594203","1,449275362","1,992753623","0,1811594203","0,5434782609","0,5434782609",0,0,0,"0,3623188406",0,0,0,0,0,"0,3623188406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865278,"90,89347079","0,3436426117","3,951890034","2,749140893",0,"0,5154639175","0,6872852234",0,0,"0,1718213058","0,3436426117",0,0,0,0,0,"0,3436426117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865284,"71,86897881","10,01926782","13,10211946","0,9633911368","1,156069364","1,734104046",0,0,0,"0,1926782274","0,1926782274",0,0,0,0,0,"0,7707129094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865286,"92,24137931","2,24137931","0,6896551724","1,206896552","0,3448275862","1,896551724",0,0,0,"0,1724137931","0,1724137931",0,0,0,0,0,"1,034482759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865288,"95,67010309","0,824742268","0,824742268","1,030927835",0,"0,618556701",0,0,0,0,0,0,0,0,0,0,"1,030927835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865290,"86,93877551","3,06122449","6,326530612","1,428571429","0,4081632653","0,8163265306","0,2040816327",0,0,0,0,0,0,0,0,0,"0,8163265306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865292,"17,46031746","3,174603175","7,142857143","19,44444444","7,936507937",0,0,0,"43,65079365",0,0,0,"1,19047619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865294,"55,40069686","1,045296167","4,529616725","23,69337979","4,181184669",0,0,0,"10,45296167",0,0,0,0,0,0,0,"0,6968641115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865296,"69,10994764","2,617801047","5,235602094","18,32460733","0,5235602094","2,094240838","1,047120419",0,0,0,0,0,0,0,0,0,"0,5235602094",0,0,0,0,0,0,0,0,"0,5235602094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865298,"62,98850575","17,24137931","5,057471264","6,436781609","3,448275862","3,67816092","0,4597701149",0,0,"0,2298850575",0,0,0,0,0,0,"0,2298850575",0,0,0,0,0,0,0,0,"0,2298850575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865300,"89,78805395","5,394990366","1,156069364","0,7707129094","1,541425819","0,1926782274","0,1926782274",0,0,0,0,0,0,0,0,0,"0,9633911368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865302,"89,70873786","4,27184466","2,524271845","1,165048544","1,359223301","0,1941747573","0,1941747573",0,0,0,0,0,0,0,0,0,"0,5825242718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865304,"47,13216958","25,43640898",0,"11,4713217","14,71321696",0,"0,2493765586",0,0,0,"0,2493765586",0,0,0,0,0,"0,2493765586",0,0,0,0,0,0,0,0,0,"0,4987531172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865305,"33,86243386","17,98941799",0,"36,50793651","5,82010582",0,"5,291005291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5291005291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865306,"30,86419753","26,74897119",0,"27,16049383","8,641975309",0,"6,58436214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865307,"23,30508475","23,30508475",0,"30,93220339","6,779661017",0,"14,83050847",0,0,0,"0,4237288136",0,0,0,0,0,"0,4237288136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865308,"92,70633397","0,575815739","3,838771593","0,9596928983","0,575815739","0,3838771593",0,0,0,0,0,0,0,0,0,0,"0,9596928983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865310,"82,18181818","2,909090909","11,81818182","0,5454545455","1,272727273","0,3636363636",0,0,0,"0,1818181818",0,0,0,0,0,0,"0,7272727273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865312,"96,07843137","0,6535947712",0,"0,6535947712","1,307189542",0,"0,1633986928",0,"0,3267973856",0,0,0,0,0,0,0,"0,8169934641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865314,"95,09954058","0,9188361409",0,"1,071975498","1,225114855",0,"0,3062787136",0,0,"0,1531393568","0,1531393568",0,0,0,0,0,"1,071975498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865316,"51,58878505","29,71962617","4,485981308","3,551401869","8,598130841",0,0,0,0,"0,5607476636",0,0,"1,121495327",0,0,0,"0,3738317757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865318,"85,53571429","6,25","3,214285714","1,25","2,5",0,0,0,0,"0,5357142857",0,0,"0,1785714286",0,0,0,"0,5357142857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865320,0,"71,34146341","13,56707317",0,"14,17682927",0,0,0,"0,6097560976","0,3048780488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865322,"3,953488372","32,79069767","44,18604651","3,488372093","7,674418605",0,0,0,"7,441860465","0,2325581395","0,2325581395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865324,"57,77777778","8,888888889",0,"0,2469135802","0,987654321",0,"0,987654321",0,"19,50617284",0,0,0,"11,11111111",0,0,0,"0,4938271605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865326,"74,66442953","2,348993289",0,"0,3355704698","0,5033557047","0,1677852349","12,91946309",0,"7,382550336",0,0,0,"1,006711409",0,0,0,"0,6711409396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865328,"13,55311355","65,75091575","0,1831501832","1,098901099","8,241758242",0,0,0,"10,43956044",0,"0,5494505495",0,0,0,0,0,"0,1831501832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865330,"87,94326241","4,609929078",0,"3,368794326","0,8865248227","0,1773049645",0,0,"1,95035461",0,"0,1773049645",0,0,0,0,0,"0,8865248227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865332,"13,3640553","55,52995392","0,2304147465",0,"6,451612903",0,"0,6912442396",0,"14,97695853",0,0,0,"8,525345622",0,0,0,"0,2304147465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865334,"80,45375218","8,376963351",0,"0,3490401396","1,396160558","0,1745200698","2,792321117",0,"4,537521815",0,0,0,"1,221640489",0,0,0,"0,6980802792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865335,"88,90728477","4,801324503",0,"0,4966887417","1,158940397","0,1655629139","2,649006623",0,"0,9933774834",0,0,0,0,0,0,0,"0,8278145695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ERR11865336,"7,660167131","64,7632312","0,139275766","0,4178272981","22,84122563",0,0,0,"3,760445682",0,0,0,0,0,0,0,"0,139275766",0,0,0,0,0,0,0,0,0,"0,278551532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
