Short_name;antibiotic_class;antibiotic;WHO_category;ref;notes;;;
ARIR;0;0;0;0;Multi-biocide_resistance_regulator;;;
ASR;0;0;0;0;Acid_resistance_protein;;;
CEPAB;0;0;0;0;Biocide;;;
EEFA;0;0;0;0;Acid_resistance_protein;;;
EMHA;0;0;0;0;Multi-biocide_RND_efflux_pump;;;
EMHB;0;0;0;0;Multi-biocide_RND_efflux_pump;;;
EMHC;0;0;0;0;Multi-biocide_RND_efflux_pump;;;
EMMDR;0;0;0;0;Multi-biocide_MATE_efflux_pump;;;
FABG;0;0;0;0;Triclosan-resistant_mutation;;;
FABI;0;0;0;0;Triclosan-resistant_mutation;;;
FETA;0;0;0;0;Biocide_and_metal_ABC_efflux_pumps;;;
FETB;0;0;0;0;Biocide_and_metal_ABC_efflux_pumps;;;
GADC;0;0;0;0;acid;;;
GADE;0;0;0;0;acid;;;
GLPF;0;0;0;0;Biocide_and_metal_resistance_protein;;;
HASF;0;0;0;0;Biocide;;;
HDEA;0;0;0;0;Biocide;;;
HDEB;0;0;0;0;Biocide;;;
ICLR;0;0;0;0;Biocide;;;
KDEA;0;0;0;0;Biocide and drug;;;
KEXD;0;0;0;0;Biocide;;;
KMRA;0;0;0;0;Biocide;;;
KPN;0;0;0;0;Biocide;;;
KPNO;0;0;0;0;Biocide;;;
LPDT;0;0;0;0;Biocide;;;
MDTI;0;0;0;0;Drug_and_biocide_SMR_efflux_pumps;;;
MDTJ;0;0;0;0;Drug_and_biocide_SMR_efflux_pumps;;;
MDTN;nucleoside;NA;0;;;;;
MDTO;nucleoside;NA;0;;;;;
MDTP;nucleoside;NA;0;;;;;
MEXD1;0;0;0;0;Drug_and_biocide_RND_efflux_pumps;;;
MVRC;0;0;0;0;Drug_and_biocide_SMR_efflux_pumps;;;
NMPC;0;0;0;0;Biocides;;;
OXYRKP;0;0;0;0;Biocides;;;
PHOB;0;0;0;0;Drug_and_biocide_ABC_efflux_regulator;;;
PHOR;0;0;0;0;Drug_and_biocide_SMR_efflux_regulator;;;
QACEDELTA1;0;0;0;0;Drug_and_biocide_SMR_efflux_pump;;;
RPOS;0;0;0;0;Multi-biocide_resistance_regulator;;;
RUVB;0;0;0;0;Biocide and metal resistance;;;
SDEB;0;0;0;0;Drug_and_biocide_RND_efflux_pumps;;;
SDEX;0;0;0;0;Drug_and_biocide_RND_efflux_pumps;;;
SDEY;0;0;0;0;Drug_and_biocide_RND_efflux_pumps;;;
SITC;0;0;0;0;Biocide_and_metal_ABC_efflux_pumps;;;
SMDA;0;0;0;0;Multi-biocide_ABC_efflux_pump;;;
SMDB;0;0;0;0;Multi-biocide_ABC_efflux_pump;;;
SMRA;0;0;0;0;Multi-biocide_ABC_efflux_pump;;;
SMVA;0;0;0;0;Multi-biocide_MFS_efflux_pump;;;
SODA;0;0;0;0;Biocide ;;;
SODB;0;0;0;0;Biocide ;;;
SOXRB;0;0;0;0;Multi-biocide_resistance_regulator;;;
SUGE;0;0;0;0;Multi-biocide_SMR_efflux_pump;;;
TEHA;0;0;0;0;Biocide_and_metal_resistance_protein;;;
TEHB;0;0;0;0;Biocide_and_metal_resistance_protein;;;
TOLC;0;0;0;0;Multi-biocide_RND_efflux_pump;;;
TRIC;0;0;0;0;Phenolic_RND_efflux_pump, biocide;;;
YCHH;0;0;0;0;Biocide_and_metal_resistance_protein;;;
YDEI;0;0;0;0;Biocide;;;
