"species";"O23S";"ACRB";"TEM";"RPOCL";"BC";"BLA1";"BLAZ";"BCII";"CTX";"CRP";"ACRA";"ACRR";"ROBA";"ACRE";"ACRF";"ACRS";"MARA";"MARR";"EVGA";"EVGS";"HNS";"OMPA";"OMPFB";"PBP4B";"OMP36";"BLAC";"OQXA";"CMY";"OMP37";"OMPK36";"LIAFSR";"RAHN";"OQXB";"OMPF";"GADW";"GADX";"MDTE";"MDTF";"MDEA";"OXY";"RAMR";"MIR";"LAQ";"abondance_intrasample";"abondance_intersamples";"ERR11865276";"ERR11865278";"ERR11865284";"ERR11865286";"ERR11865288";"ERR11865290";"ERR11865292";"ERR11865294";"ERR11865296";"ERR11865298";"ERR11865300";"ERR11865302";"ERR11865304";"ERR11865305";"ERR11865306";"ERR11865307";"ERR11865308";"ERR11865310";"ERR11865312";"ERR11865314";"ERR11865316";"ERR11865318";"ERR11865320";"ERR11865322";"ERR11865324";"ERR11865326";"ERR11865328";"ERR11865330";"ERR11865332";"ERR11865334";"ERR11865335";"ERR11865336";"ERR11865338";"ERR11865340";"ERR11865342";"ERR11865344";"ERR11865346";"ERR11865348";"ERR11865350";"ERR11865352";"ERR11865354";"ERR11865356";"ERR11865358";"ERR11865359";"ERR11865360";"ERR11865362";"ERR11865364";"ERR11865367";"ERR11865369";"ERR11865371";"ERR11865373";"ERR11865375";"ERR11865377";"ERR11865379";"ERR11865381";"ERR11865383";"ERR11865385";"ERR11865387";"ERR11865389";"ERR11865391";"ERR11865393";"ERR11865395";"ERR11865397";"ERR11865399";"ERR11865401";"ERR11865403";"ERR11865405";"ERR11865407";"ERR11865409";"ERR11865411";"ERR11865413";"ERR11865415";"ERR11865417";"ERR11865419";"ERR11865421";"ERR11865423";"ERR11865425";"ERR11865427";"ERR11865429";"ERR11865431";"ERR11865433";"ERR11865435";"ERR11865437";"ERR11865439";"ERR11865441";"ERR11865443";"ERR11865445";"ERR11865447";"ERR11865449";"ERR11865451";"ERR11865453";"ERR11865455";"ERR11865457";"ERR11865459";"ERR11865461";"ERR11865463";"ERR11865465";"ERR11865467";"ERR11865469";"ERR11865471";"ERR11865473";"ERR11865475";"ERR11865477";"ERR11865479";"ERR11865481";"ERR11865483";"ERR11865485";"ERR11865487";"ERR11865489";"ERR11865491";"ERR11865493";"ERR11865495";"ERR11865497";"ERR11865499";"ERR11865501";"ERR11865503";"ERR11865508";"ERR11865509";"ERR11865511";"ERR11865538";"ERR11865540";"ERR11865542";"ERR11865544";"ERR11865546";"ERR11865548";"ERR11865552";"ERR11865554";"ERR11865556";"ERR11865558";"ERR11865560";"ERR14783384";"ERR14783386";"ERR14783390";"ERR14783391";"ERR14783392";"ERR14783399";"ERR14783400";"ERR14783401";"ERR14783402";"ERR14783408";"ERR14783409";"ERR14783410";"ERR14783411";"ERR14783418";"ERR14783424";"ERR14783425";"ERR14783426";"ERR14783427";"ERR14783429";"ERR14783433";"ERR14783434";"ERR14783439";"ERR14783440";"ERR14783441";"ERR14783442";"ERR14783446";"ERR14783447";"ERR14783453";"ERR14783454";"ERR14783455";"ERR14783456";"ERR14783460";"ERR14783464";"ERR14783465";"ERR14783466";"ERR14783473";"ERR14783475";"ERR14783483";"ERR14783484";"ERR14783485";"ERR14783486";"ERR14783487";"ERR14783492";"ERR14783494";"ERR14783495";"ERR14783500";"ERR14783502";"ERR14783503";"ERR14783509";"ERR14783510";"ERR14783511";"ERR14783512";"ERR14783519";"ERR14783521";"ERR14783522";"ERR14783523";"ERR14783524";"ERR14783532";"ERR14783538";"ERR14783539";"ERR14783541";"ERR14783549";"ERR14783550";"ERR14783551";"ERR14783553";"ERR14783783";"ERR14783784";"ERR14783785";"ERR14783786";"ERR14783787";"ERR14783788";"ERR14783792";"ERR14783793";"ERR14783794";"ERR14783795";"ERR14783796";"ERR14783802";"ERR14783805";"ERR14783806";"ERR14783809";"ERR14783810";"SRR13801805"
"Leuconostoc mesenteroides";66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,229340659340659;42,9245283018868;0,03;0,03;0,09;0,11;0,03;0,04;0;0;0,04;0,16;0,01;0,01;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0,01;0;0,01;0;0,01;0,01;0;0,01;0;0,01;2,88;0,55;0;0,02;0,07;0,08;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,16;0,15;0;0;0;0;0,49;0,12;0;0;0,01;0,02;0;0,38;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0,13;0;0;0,03;0,12;0,01;0,01;0;0;0,04;0,07;0,09;0,06;0;0;0;0,01;0;0;0;0,01;0,04;0,14;0;0;0,01;0,14;0,04;0,11;0;0;0,12;0,73;0,38;0;0,03;0,01;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0,09;0,04;0,07;0,11;0,65;1,19;1,14;0,47;0;0;0;0;0;0,05;0,18;0,47;0;0;0,01;0;0;0;0;0;0;0;0;0;0,42;0,16;0;0;0;0;0,18;0,17;1,42;0;0;0;0;0;0;0;0;0;0;0;0,03;0,29;0,37;0,62;0;0;0,01;0;0,06;0,1;0,1;0,05;0,26;0,44;0,47;0,17;1,44;1,65;0;0;0;0;0;0;0;0;0;0;0
"Acetobacter orientalis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1375;37,7358490566038;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0;0,01;0,03;0,03;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,05;0,01;0,02;0,11;0,11;0;0;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,03;0,17;0,13;0;0;0;0;1,92;4,05;0;0;0;0,04;0,44;0,14;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0,02;0,04;0,01;0;0;0;0,01;0,08;0,01;0,04;0,01;0;0,06;0;0;0,01;0;0;0;0;0;0,07;0,02;0,02;0,05;0,02;0,19;0,04;0,05;0,13;0;0,01;0,18;0;0,05;0,15;0,07;0,36;0,01;0,02;0,11;0,01;0,02;0;0;0;0,01;0,05;0;0;0;0,05;0;0;0;0;0;0,09;0;0,99;0,04;0,08;0;0,01;0,01;0,01;0,02;0;0,18;0,01;0,03;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0,02;0;0;0;0;0
"Hafnia paralvei";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,535;3,77358490566038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,46;2,7;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,03;1;0;0;0;0;0;0
"Leuconostoc falkenbergense";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0828571428571429;6,60377358490566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,05;0,08;0,03;0,08;0,02;0,09;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,28;0,3;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Acetobacter persici";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Escherichia coli";0;2;1;0;0;0;0;0;3;2;2;2;1;1;2;1;2;2;2;2;3;2;2;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bacillus mycoides";1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0575;3,77358490566038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,02;0;0;0,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0
"Bacillus tropicus";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bacillus albus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
