"species","arg","antibiotic_class","species_mean_abund_intrasample","species_abund_intersample","count_samples_with_spec&arg/226","count_species_with_arg/count_species"
"Leuconostoc mesenteroides","O23S","Oxazolidinone",0.229340659340659,42.9245283018868,29.2035398230088,72.5274725274725
"Acetobacter orientalis","O23S","Oxazolidinone",0.1375,37.7358490566038,0.442477876106195,1.25
"Hafnia paralvei","ACRB","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone",0.535,3.77358490566038,0.884955752212389,25
"Hafnia paralvei","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",0.535,3.77358490566038,2.21238938053097,62.5
"Leuconostoc falkenbergense","O23S","Oxazolidinone",0.0828571428571429,6.60377358490566,3.53982300884956,57.1428571428571
"Acetobacter persici","O23S","Oxazolidinone",NA,NA,0.442477876106195,NA
"other","TEM","A-betalactamases",NA,NA,0.884955752212389,NA
"Escherichia coli","ACRB","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone",NA,NA,0.884955752212389,NA
"Escherichia coli","TEM","A-betalactamases",NA,NA,0.442477876106195,NA
"Escherichia coli","CTX","3rd-, 4th- and 5th-
generation cephalosporins
with ?-lactamase
inhibitors",NA,NA,1.32743362831858,NA
"Escherichia coli","CRP","carbapenem",NA,NA,0.884955752212389,NA
"Escherichia coli","ACRA","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone, phenicol",NA,NA,0.884955752212389,NA
"Escherichia coli","ACRR","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone, phenicol",NA,NA,0.884955752212389,NA
"Escherichia coli","ROBA","tetracycline, penicillin beta-lactam, cephalosporin, phenicol, rifamycin, glycylcycline, fluoroquinolone",NA,NA,0.442477876106195,NA
"Escherichia coli","ACRE","penicillin beta-lactam, cephalosporin, fluoroquinolone",NA,NA,0.442477876106195,NA
"Escherichia coli","ACRF","penicillin beta-lactam, cephalosporin, fluoroquinolone",NA,NA,0.884955752212389,NA
"Escherichia coli","ACRS","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone, phenicol",NA,NA,0.442477876106195,NA
"Escherichia coli","MARA","tetracycline, penicillin beta-lactam, cephalosporin, phenicol antibiotic, rifamycin, glycylcycline, carbapenem, monobactam, fluoroquinolone",NA,NA,0.884955752212389,NA
"Escherichia coli","MARR","tetracycline, penicillin beta-lactam, cephalosporin, phenicol antibiotic, rifamycin, glycylcycline, fluoroquinolone",NA,NA,0.884955752212389,NA
"Escherichia coli","EVGA","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide",NA,NA,0.884955752212389,NA
"Escherichia coli","EVGS","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide",NA,NA,0.884955752212389,NA
"Escherichia coli","HNS","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide, cephalosporin",NA,NA,1.32743362831858,NA
"Escherichia coli","OMPA","betalactam",NA,NA,0.884955752212389,NA
"Escherichia coli","OMPFB","penicillin beta-lactam, cephalosporin, carbapenem, monobactam",NA,NA,0.884955752212389,NA
"Escherichia coli","PBP4B","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Escherichia coli","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",NA,NA,0.442477876106195,NA
"Escherichia coli","OMP37","betalactam",NA,NA,0.442477876106195,NA
"Escherichia coli","GADW","penicillin beta-lactam, fluoroquinolone, macrolide",NA,NA,0.442477876106195,NA
"Escherichia coli","GADX","penicillin beta-lactam, fluoroquinolone, macrolide",NA,NA,0.442477876106195,NA
"Escherichia coli","MDTE","penicillin beta-lactam, fluoroquinolone, macrolide",NA,NA,0.442477876106195,NA
"Escherichia coli","MDTF","penicillin beta-lactam, fluoroquinolone, macrolide",NA,NA,0.442477876106195,NA
"Bacillus mycoides","O23S","Oxazolidinone",0.0575,3.77358490566038,0.442477876106195,12.5
"Bacillus mycoides","RPOCL","Lipopeptides",0.0575,3.77358490566038,0.884955752212389,25
"Bacillus mycoides","BLAZ","penicillin beta-lactam",0.0575,3.77358490566038,0.442477876106195,12.5
"Bacillus tropicus","RPOCL","Lipopeptides",NA,NA,0.442477876106195,NA
"Bacillus albus","BC","B-Betalactam",NA,NA,0.442477876106195,NA
"Bacillus thuringiensis","RPOCL","Lipopeptides",NA,NA,0.442477876106195,NA
"Bacillus thuringiensis","BLA1","penicillin beta-lactam",NA,NA,0.884955752212389,NA
"Bacillus thuringiensis","BCII","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Bacillus sp. N5-665","BLAZ","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Bacillus paramobilis","BCII","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Bacillus wiedmannii","BLAZ","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Bacillus cereus","RPOCL","Lipopeptides",NA,NA,0.442477876106195,NA
"Bacillus cereus","BLAZ","penicillin beta-lactam",NA,NA,0.442477876106195,NA
"Klebsiella pneumoniae","CTX","3rd-, 4th- and 5th-
generation cephalosporins
with ?-lactamase
inhibitors",NA,NA,1.32743362831858,NA
"Klebsiella pneumoniae","MARA","tetracycline, penicillin beta-lactam, cephalosporin, phenicol antibiotic, rifamycin, glycylcycline, carbapenem, monobactam, fluoroquinolone",NA,NA,0.442477876106195,NA
"Serratia liquefaciens","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",NA,NA,0.884955752212389,NA
"Serratia liquefaciens","BLAC","penicillin beta-lactam, cephalosporin",NA,NA,0.884955752212389,NA
"Enterobacter hormaechei","CTX","3rd-, 4th- and 5th-
generation cephalosporins
with ?-lactamase
inhibitors",NA,NA,0.442477876106195,NA
"Enterobacter hormaechei","HNS","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide, cephalosporin",NA,NA,0.884955752212389,NA
"Enterobacter hormaechei","OMPA","betalactam",NA,NA,0.442477876106195,NA
"Enterobacter hormaechei","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",NA,NA,0.884955752212389,NA
"Enterobacter hormaechei","OQXA","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",NA,NA,0.442477876106195,NA
"Enterobacter hormaechei","OMPK36","cephalosporin, penicillin beta-lactam, carbapenem, monobactam",NA,NA,0.442477876106195,NA
"Enterobacter hormaechei","OQXB","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",NA,NA,0.442477876106195,NA
"Citrobacter freundii","ACRB","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone",NA,NA,1.76991150442478,NA
"Citrobacter freundii","CTX","3rd-, 4th- and 5th-
generation cephalosporins
with ?-lactamase
inhibitors",NA,NA,0.442477876106195,NA
"Citrobacter freundii","CRP","carbapenem",NA,NA,0.442477876106195,NA
"Citrobacter freundii","ACRA","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone, phenicol",NA,NA,1.76991150442478,NA
"Citrobacter freundii","ROBA","tetracycline, penicillin beta-lactam, cephalosporin, phenicol, rifamycin, glycylcycline, fluoroquinolone",NA,NA,0.442477876106195,NA
"Citrobacter freundii","ACRF","penicillin beta-lactam, cephalosporin, fluoroquinolone",NA,NA,1.32743362831858,NA
"Citrobacter freundii","HNS","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide, cephalosporin",NA,NA,0.442477876106195,NA
"Citrobacter freundii","OMPA","betalactam",NA,NA,2.21238938053097,NA
"Citrobacter freundii","OMPFB","penicillin beta-lactam, cephalosporin, carbapenem, monobactam",NA,NA,1.76991150442478,NA
"Citrobacter freundii","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",NA,NA,1.76991150442478,NA
"Citrobacter freundii","CMY","cephamycin",NA,NA,2.21238938053097,NA
"Kluyvera cryocrescens","ACRB","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone",0.04,0.943396226415094,0.442477876106195,50
"Kluyvera cryocrescens","CRP","carbapenem",0.04,0.943396226415094,0.442477876106195,50
"Kluyvera cryocrescens","OMPA","betalactam",0.04,0.943396226415094,0.442477876106195,50
"Kluyvera cryocrescens","OMP36","Carbapenems with or
without inhibitors, Cephalosporins
(3rd, 4th
generation)",0.04,0.943396226415094,0.442477876106195,50
"Klebsiella grimontii","CRP","carbapenem",0.062,2.35849056603774,0.884955752212389,40
"Klebsiella grimontii","ACRA","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone, phenicol",0.062,2.35849056603774,1.76991150442478,80
"Klebsiella grimontii","OMPA","betalactam",0.062,2.35849056603774,0.442477876106195,20
"Klebsiella grimontii","OQXA","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",0.062,2.35849056603774,1.32743362831858,60
"Klebsiella grimontii","OMPK36","cephalosporin, penicillin beta-lactam, carbapenem, monobactam",0.062,2.35849056603774,1.76991150442478,80
"Klebsiella grimontii","OQXB","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",0.062,2.35849056603774,1.32743362831858,60
"Klebsiella grimontii","OXY","penicillin beta-lactam, cephalosporin, monobactam",0.062,2.35849056603774,1.32743362831858,60
"Lelliottia amnigena","ACRB","tetracycline, penicillin beta-lactam, cephalosporin, rifamycin, glycylcycline, fluoroquinolone",0.18,1.41509433962264,1.32743362831858,100
"Lelliottia amnigena","HNS","penicillin beta-lactam, tetracycline, fluoroquinolone, macrolide, cephalosporin",0.18,1.41509433962264,0.442477876106195,33.3333333333333
"Lelliottia amnigena","OMPA","betalactam",0.18,1.41509433962264,0.442477876106195,33.3333333333333
"Lelliottia amnigena","OQXA","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",0.18,1.41509433962264,0.442477876106195,33.3333333333333
"Lelliottia amnigena","OQXB","tetracycline, nitrofuran, diaminopyrimidine, glycylcycline, fluoroquinolone",0.18,1.41509433962264,0.884955752212389,66.6666666666667
"Lelliottia amnigena","OMPF","penicillin beta-lactam, cephalosporin, carbapenem, monobactam",0.18,1.41509433962264,0.442477876106195,33.3333333333333
"Lelliottia amnigena","LAQ","penicillin beta-lactam",0.18,1.41509433962264,0.442477876106195,33.3333333333333
"Enterococcus faecalis","LIAFSR","Lipopeptides",NA,NA,0.884955752212389,NA
"Acetobacter okinawensis","O23S","Oxazolidinone",NA,NA,0.884955752212389,NA
