sample,Colocalization,Shannon,,,
ERR11865320,0,"0,9520382171",,,
ERR11865330,0,"1,087631404",,,
ERR11865336,0,"1,364788086",,,
ERR11865356,0,"0,9615400339",,,
ERR11865358,0,"1,145879206",,,
ERR11865359,0,"1,102305059",,,
ERR11865369,0,"0,5203430676",,,
ERR11865381,0,"0,7576494504",,,
ERR11865383,0,"1,067855813",,,
ERR11865409,0,"0,0992924449",,,
ERR11865421,0,"0,2884267789",,,
ERR11865453,0,"1,418166873",,,
ERR11865538,0,"1,363635325",,,
ERR14783392,0,"0,6682093778",,,
ERR14783441,0,"2,775434399",,,
ERR14783447,0,"2,642375385",,,
ERR14783453,0,"0,8226632874",,,
ERR14783806,0,"0,9825910693",,,
SRR13801805,0,"0,3402579438",,,
ERR11865276,1,"0,8202328937",,,
ERR11865284,1,"1,386353466",,,
ERR11865286,1,"0,9786562535",,,
ERR11865300,1,"0,8868963966",,,
ERR11865316,1,"1,567197386",,,
ERR11865342,1,"1,167781062",,,
ERR11865362,1,"1,066310857",,,
ERR11865371,1,"0,4545318791",,,
ERR11865385,1,"1,16661391",,,
ERR11865393,1,"0,5817874105",,,
ERR11865397,1,"1,205204766",,,
ERR11865419,1,"1,369263141",,,
ERR11865435,1,"1,044623508",,,
ERR11865457,1,"1,040290754",,,
ERR11865465,1,"0,4675982732",,,
ERR11865469,1,"1,20915474",,,
ERR11865471,1,"0,9771522227",,,
ERR11865489,1,"0,3694607289",,,
ERR11865556,1,"0,2407739576",,,
ERR14783460,1,"1,488423491",,,
ERR14783492,1,"1,673306911",,,
ERR14783494,1,"1,398889114",,,
ERR14783523,1,"1,327231538",,,
ERR14783792,1,"0,5383146757",,,
ERR14783805,1,"0,8782164155",,,
ERR11865288,2,"0,8045850088",,,
ERR11865290,2,"1,045174144",,,
ERR11865302,2,"0,9114047765",,,
ERR11865304,2,"1,416377821",,,
ERR11865305,2,"1,046257727",,,
ERR11865306,2,"1,172738161",,,
ERR11865312,2,"0,7258269729",,,
ERR11865314,2,"0,7701445685",,,
ERR11865318,2,"1,063667741",,,
ERR11865335,2,"0,9322107603",,,
ERR11865338,2,"1,153484411",,,
ERR11865348,2,"1,370225372",,,
ERR11865360,2,"1,072460227",,,
ERR11865373,2,"0,394163407",,,
ERR11865377,2,"0,8214159999",,,
ERR11865389,2,"0,4283645184",,,
ERR11865395,2,"0,8694392549",,,
ERR11865405,2,"1,128030916",,,
ERR11865417,2,"1,163831356",,,
ERR11865425,2,"0,8849954039",,,
ERR11865431,2,"0,3886255571",,,
ERR11865433,2,"0,7144719628",,,
ERR11865441,2,"0,6445770113",,,
ERR11865455,2,"1,493292945",,,
ERR11865477,2,"0,2936616065",,,
ERR11865479,2,"0,2746963443",,,
ERR11865497,2,"0,7753886841",,,
ERR11865499,2,"0,800122792",,,
ERR11865503,2,"0,987179498",,,
ERR11865540,2,"0,2009830899",,,
ERR11865546,2,"1,2705415",,,
ERR11865554,2,"1,307816655",,,
ERR14783410,2,"1,638715208",,,
ERR14783426,2,"1,755298822",,,
ERR14783442,2,"2,573688468",,,
ERR14783476,2,N/A,,,
ERR14783495,2,"2,207148447",,,
ERR14783793,2,"1,82859069",,,
ERR14783795,2,"0,8970975687",,,
ERR14783802,2,"0,3150632347",,,
SRR13801804,2,N/A,,,
ERR11865278,3,"0,9605060803",,,
