tFermentation;bioproject;sample;sequenceur;origin;;;
8;PRJEB65292;ERR11865276;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865278;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865284;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865286;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865288;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865290;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865292;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865294;ILLUMINA, NextSeq 500, paired-end;na;;;|
8;PRJEB65292;ERR11865296;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865298;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865300;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865302;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865304;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865305;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865306;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865307;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865308;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865310;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865312;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865314;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865316;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865318;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865320;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865322;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865324;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865326;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865328;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865330;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865332;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865334;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865335;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865336;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865338;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865340;ILLUMINA, NextSeq 500, paired-end;na;;;
