sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name
ERR11865417,NODE_530_length_3579_cov_4.647451,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
SRR7287342,NODE_403_length_5606_cov_7643.990414,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
SRR7287342,NODE_403_length_5606_cov_7643.990414,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783474,NODE_344_length_5592_cov_219.759927,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783474,NODE_344_length_5592_cov_219.759927,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865443,NODE_118_length_6057_cov_1.300843,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865443,NODE_118_length_6057_cov_1.300843,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR11865310,NODE_347_length_5849_cov_4.253932,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783416,NODE_759_length_3538_cov_147.769862,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783473,NODE_886_length_3904_cov_75.226635,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783400,NODE_2152_length_5592_cov_159.352790,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783400,NODE_2152_length_5592_cov_159.352790,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
