sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name,WHO_classif,coverage,count,mean_length,rpkm
ERR11865276,NODE_618_length_2851_cov_2.745228,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.745228,1939926,148.68412661101505933731,9.51763
ERR11865278,NODE_532_length_5121_cov_3.178815,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,3.178815,2493731,146.13295740398623588510,8.72303
ERR11865278,NODE_532_length_5121_cov_3.178815,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,3.178815,2493731,146.13295740398623588510,8.72303
ERR11865278,NODE_568_length_4813_cov_10.290653,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,10.290653,2493731,146.13295740398623588510,28.2387
ERR11865284,NODE_166_length_9815_cov_3.523121,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,3.523121,1530862,147.83613676477696879274,15.5672
ERR11865286,NODE_2_length_57893_cov_3.452498,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,3.452498,2246899,148.14358010751707130583,10.3721
ERR11865286,NODE_2_length_57893_cov_3.452498,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,3.452498,2246899,148.14358010751707130583,10.3721
ERR11865288,NODE_281_length_4144_cov_1.973861,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.973861,1685420,149.50812557107427228821,7.83328
ERR11865288,NODE_2_length_164853_cov_24.453153,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,24.453153,1685420,149.50812557107427228821,97.0425
ERR11865290,NODE_1427_length_2415_cov_5.556818,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,5.556818,2315434,149.17973649864345086061,16.0873
ERR11865290,NODE_1_length_164133_cov_29.451575,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,29.451575,2315434,149.17973649864345086061,85.2641
ERR11865292,NODE_32_length_47486_cov_3.195908,gene:plasmid:123887,Escherichia coli,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,3.195908,892730,149.12388516124696156732,24.0064
ERR11865292,NODE_32_length_47486_cov_3.195908,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,3.195908,892730,149.12388516124696156732,24.0064
ERR11865292,NODE_4_length_85389_cov_2.866048,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,2.866048,892730,149.12388516124696156732,21.5286
ERR11865292,NODE_252_length_11150_cov_2.269709,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,2.269709,892730,149.12388516124696156732,17.0492
ERR11865292,NODE_252_length_11150_cov_2.269709,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,2.269709,892730,149.12388516124696156732,17.0492
ERR11865294,NODE_162_length_15117_cov_1.687392,gene:plasmid:123887,Acinetobacter sp. TTH0-4,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,1.687392,1931945,148.66013421707139696005,5.87525
ERR11865294,NODE_485_length_7181_cov_1.282535,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,1.282535,1931945,148.66013421707139696005,4.4656
ERR11865294,NODE_270_length_11115_cov_1.055970,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,1.055970,1931945,148.66013421707139696005,3.67673
ERR11865294,NODE_270_length_11115_cov_1.055970,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,1.055970,1931945,148.66013421707139696005,3.67673
ERR11865294,NODE_9_length_81020_cov_8.649228,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,8.649228,1931945,148.66013421707139696005,30.1154
ERR11865296,NODE_189_length_8252_cov_2.815015,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.815015,1504784,149.13345902136120532913,12.5439
ERR11865296,NODE_189_length_8252_cov_2.815015,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,2.815015,1504784,149.13345902136120532913,12.5439
ERR11865296,NODE_226_length_6615_cov_2.165228,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,2.165228,1504784,149.13345902136120532913,9.64838
ERR11865296,NODE_226_length_6615_cov_2.165228,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.165228,1504784,149.13345902136120532913,9.64838
ERR11865296,NODE_5_length_65696_cov_17.842654,gene:vir:1131;gene:proph:162945;gene:proph:162923;gene:proph:163023;gene:proph:183081;gene:vir:3400;gene:proph:162961;gene:proph:162946;gene:proph:162929;gene:vir:3406;gene:vir:3407;gene:proph:183063;gene:proph:162928;gene:proph:183065;gene:proph:184310,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,17.842654,1504784,149.13345902136120532913,79.5079
ERR11865298,NODE_817_length_4709_cov_12.291139,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,12.291139,2149102,146.00770461336874657415,39.1705
ERR11865298,NODE_817_length_4709_cov_12.291139,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,12.291139,2149102,146.00770461336874657415,39.1705
ERR11865298,NODE_147_length_18254_cov_11.336956,gene:proph:163023;gene:proph:183081;gene:proph:183055;gene:proph:162961;gene:proph:162946;gene:proph:162929;gene:vir:3406;gene:proph:183062;gene:proph:183063;gene:proph:162928;gene:proph:183065;gene:proph:184310,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,11.336956,2149102,146.00770461336874657415,36.1296
ERR11865300,NODE_2_length_164852_cov_20.778340,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,20.778340,1411142,149.45082139146875367610,98.524
ERR11865302,NODE_125_length_15826_cov_2.729792,gene:plasmid:139560,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.729792,2301047,149.33409356697190452867,7.94411
ERR11865302,NODE_2_length_164852_cov_32.423834,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,32.423834,2301047,149.33409356697190452867,94.3583
ERR11865304,NODE_371_length_6994_cov_1.922528,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,1.922528,1329257,148.79368925647937155869,9.72029
ERR11865304,NODE_371_length_6994_cov_1.922528,gene:plasmid:139560;gene:plasmid:131185,other,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.922528,1329257,148.79368925647937155869,9.72029
ERR11865305,NODE_244_length_6807_cov_1.805240,gene:plasmid:139560;gene:plasmid:117293,Acetobacter oryzifermentans,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,1.805240,1814503,149.25995658315252165469,6.66552
ERR11865305,NODE_244_length_6807_cov_1.805240,gene:plasmid:139560;gene:plasmid:117293,other,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.805240,1814503,149.25995658315252165469,6.66552
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,4.689284,1937505,149.33746287106355854565,16.2067
ERR11865306,NODE_328_length_8778_cov_4.689284,gene:plasmid:139560;gene:plasmid:131185,other,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,4.689284,1937505,149.33746287106355854565,16.2067
ERR11865307,NODE_2_length_164045_cov_24.977824,gene:plasmid:135980;gene:plasmid:135959,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,24.977824,2152089,148.65527355048977993010,78.0754
ERR11865307,NODE_76_length_20435_cov_2.738280,gene:plasmid:139560;gene:plasmid:117293,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,2.738280,2152089,148.65527355048977993010,8.55928
ERR11865307,NODE_76_length_20435_cov_2.738280,gene:plasmid:139560;gene:plasmid:117293,Acetobacter oryzifermentans,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.738280,2152089,148.65527355048977993010,8.55928
ERR11865308,NODE_203_length_5382_cov_1.965937,gene:plasmid:131182,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,1.965937,1916613,149.52816922352086727993,6.85981
ERR11865308,NODE_331_length_2954_cov_1.169438,gene:plasmid:131185,Acetobacter okinawensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,1.169438,1916613,149.52816922352086727993,4.08056
ERR11865308,NODE_2_length_164852_cov_30.449713,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,30.449713,1916613,149.52816922352086727993,106.249
ERR11865310,NODE_402_length_4775_cov_1.873494,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.873494,2368028,148.78186364350421532177,5.3176
ERR11865310,NODE_402_length_4775_cov_1.873494,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,1.873494,2368028,148.78186364350421532177,5.3176
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,2.303718,2368028,148.78186364350421532177,6.53872
ERR11865310,NODE_30_length_54006_cov_2.303718,gene:plasmid:138875;gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,2.303718,2368028,148.78186364350421532177,6.53872
ERR11865310,NODE_347_length_5849_cov_4.253932,gene:plasmid:139560,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,4.253932,2368028,148.78186364350421532177,12.0741
ERR11865310,NODE_2_length_164868_cov_30.231916,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,30.231916,2368028,148.78186364350421532177,85.8082
ERR11865312,NODE_156_length_2751_cov_0.762957,gene:plasmid:131185,Pseudomonas helleri,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,0.762957,1768399,147.49160002917893529684,2.92518
ERR11865312,NODE_2_length_164853_cov_28.547491,ICEberg|404|Tn5301|GenBank|S54034|1..515,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,28.547491,1768399,147.49160002917893529684,109.451
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,5.281531,2584341,146.56925343830400090390,13.9434
ERR11865314,NODE_231_length_7128_cov_5.281531,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,5.281531,2584341,146.56925343830400090390,13.9434
ERR11865316,NODE_707_length_3994_cov_1.186967,gene:plasmid:139560,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,1.186967,1045111,149.30068767815093325015,7.60702
ERR11865318,NODE_663_length_4550_cov_8.597558,gene:plasmid:139560;gene:plasmid:131376,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,8.597558,2080456,148.76493470662200979016,27.779
ERR11865322,NODE_233_length_15139_cov_1.698774,gene:plasmid:123887,Escherichia coli,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,1.698774,2180727,148.94172768989424169095,5.2302
ERR11865322,NODE_1_length_78408_cov_1.842491,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,1.842491,2180727,148.94172768989424169095,5.67267
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,3.541630,2180727,148.94172768989424169095,10.904
ERR11865322,NODE_731_length_5784_cov_3.541630,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,3.541630,2180727,148.94172768989424169095,10.904
ERR11865322,NODE_799_length_5245_cov_1.707698,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,1.707698,2180727,148.94172768989424169095,5.25767
ERR11865322,NODE_334_length_11128_cov_1.478684,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,1.478684,2180727,148.94172768989424169095,4.55258
ERR11865322,NODE_334_length_11128_cov_1.478684,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,1.478684,2180727,148.94172768989424169095,4.55258
ERR11865324,NODE_20_length_78217_cov_3.312883,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,3.312883,1225786,148.94868517016836544062,18.1449
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,2.307175,1225786,148.94868517016836544062,12.6366
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,2.307175,1225786,148.94868517016836544062,12.6366
ERR11865324,NODE_7_length_126143_cov_2.307175,gene:plasmid:21021;gene:proph:184236;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:175955;gene:proph:184195;gene:proph:184194,Pseudomonas lundensis,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0,2.307175,1225786,148.94868517016836544062,12.6366
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,3.113622,1225786,148.94868517016836544062,17.0535
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,3.113622,1225786,148.94868517016836544062,17.0535
ERR11865324,NODE_154_length_28361_cov_3.113622,gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,3.113622,1225786,148.94868517016836544062,17.0535
ERR11865324,NODE_377_length_11107_cov_2.280601,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,2.280601,1225786,148.94868517016836544062,12.491
ERR11865324,NODE_377_length_11107_cov_2.280601,gene:proph:184195;gene:proph:184194,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,2.280601,1225786,148.94868517016836544062,12.491
ERR11865326,NODE_240_length_15493_cov_2.225303,gene:plasmid:123887,Citrobacter freundii,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,2.225303,2457326,148.27411218535920752883,6.10747
ERR11865326,NODE_13_length_85350_cov_2.824437,gene:plasmid:124575,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,2.824437,2457326,148.27411218535920752883,7.75182
ERR11865326,NODE_514_length_5279_cov_1.271157,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,1.271157,2457326,148.27411218535920752883,3.48876
ERR11865326,NODE_74_length_37582_cov_1.640315,gene:plasmid:85748,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXE,HPCIA,1.640315,2457326,148.27411218535920752883,4.50193
ERR11865326,NODE_74_length_37582_cov_1.640315,gene:plasmid:85748,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXF,HPCIA,1.640315,2457326,148.27411218535920752883,4.50193
ERR11865326,NODE_94_length_33288_cov_2.705166,gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,2.705166,2457326,148.27411218535920752883,7.42448
